COMP_K,COMP_R,COMP_RHKMFWY,COMP_RHKM,MAXSW20_COMP_RHKMFWY,MAXSW20_COMP_RHKM,AVG_DNA_IDX,AVG_RNA_IDX,AVG_DRNA_IDX,MAXSW15_AVG_RNA_IDX
0.261,0.18699,0.48098,0.32834,0.57143,0.33333,0.47867,0.39539,?,?
0.28343,0.16188,0.60981,?,0.64286,0.46667,0.53786,0.45397,?,0.43526
0.10602,0.37718,0.47886,0.37368,0.5,0.4,0.45339,?,0.43429,0.47115
0.32233,0.1158,?,0.32426,0.64286,0.4,0.58154,0.40052,0.5005,0.29872
0.64987,0.29487,0.72484,0.68918,0.64286,0.66667,0.55461,0.53966,0.54926,0.54295
0.19958,0.2133,0.47241,0.36529,0.57143,0.53333,0.41898,0.35424,0.39056,?
?,?,0.47299,0.34705,0.5,0.33333,0.42342,0.38472,0.40689,0.41538
0.11211,0.37656,0.53267,0.37086,0.57143,0.46667,0.5287,0.47377,0.50504,0.48333
0.01438,0.16015,0.24017,?,0.35714,0.26667,0.3752,0.29538,0.33978,0.45321
0.04611,0.38313,0.37096,0.31686,0.5,?,?,0.37395,0.38916,0.49615
0.09331,0.18575,0.42904,0.22195,0.71429,0.46667,0.50703,0.37694,0.44903,0.45705
0.11831,0.32942,0.42832,0.32585,0.57143,0.33333,0.44661,0.37137,0.41347,0.39744
0.23755,0.2181,0.69586,0.39188,0.64286,0.4,0.55956,0.45537,0.51352,0.35
0.20332,0.19955,0.39623,0.27372,0.42857,0.33333,0.37921,0.33773,0.36129,0.34615
0.17166,0.25364,0.46495,?,0.85714,0.6,0.52791,0.37894,?,0.55192
0.21541,0.14995,0.43231,?,0.42857,0.33333,0.48326,0.35362,?,0.27821
0.37203,0.03837,0.45898,?,?,0.33333,?,0.24746,0.27004,0.18974
0.09644,0.26256,0.36861,0.28829,0.5,0.46667,0.48475,0.33709,0.41867,0.48654
0.07594,0.25843,0.37438,0.26842,0.28571,0.26667,0.37207,?,0.36561,0.25897
0.08293,0.28862,?,0.26877,0.42857,0.4,?,0.37612,0.42579,?
0.24948,?,0.41921,0.23296,0.57143,0.26667,0.33931,0.22969,?,0.17564
0.25995,0.16084,0.52059,0.33809,0.5,0.4,0.5328,0.39959,?,0.38718
0.11246,0.26789,0.36255,0.27879,0.42857,0.33333,?,0.33038,0.36951,0.37821
0.22797,?,0.40245,0.29874,0.35714,?,?,0.34618,?,0.38205
0.16711,0.16084,0.54336,0.31648,0.57143,0.46667,0.50823,0.4013,0.4608,0.28397
?,0.12555,0.43052,0.21365,0.42857,0.33333,?,?,?,0.34679
0.28031,0.1349,?,?,0.5,0.33333,0.45162,0.36237,0.4121,0.26282
0.29132,0.2884,0.54601,0.46511,0.57143,0.46667,0.50793,0.46832,0.49121,0.45385
0.23172,0.15532,0.56898,0.3176,0.57143,0.33333,?,0.37943,0.45409,0.35256
0.26716,0.2436,0.55605,0.36584,0.64286,0.46667,0.50966,0.41077,0.4659,0.44359
0.29697,0.10138,0.55283,?,0.5,0.4,0.45608,0.3752,0.42039,0.28397
0.15677,?,0.55181,0.43576,0.64286,0.6,0.50582,0.47318,0.49227,0.54808
?,0.32715,?,0.42628,0.64286,0.46667,0.51464,?,0.49179,0.41987
0.06804,0.29001,0.40357,0.28386,0.42857,0.4,0.43147,0.36195,?,0.33782
0.18248,0.32618,0.54167,0.37754,0.64286,0.46667,0.49537,0.4453,0.47384,?
0.24296,0.21866,0.58857,0.37368,0.5,0.4,0.47595,0.40934,?,0.38077
0.22441,0.03267,0.36732,0.13495,0.35714,0.2,0.43275,0.28565,?,0.21731
0.20392,0.2163,0.36512,0.29805,0.71429,0.46667,0.39238,0.33955,0.36932,0.43397
?,0.324,0.56238,0.44682,0.71429,0.6,0.46461,?,?,0.55641
0.1733,0.27572,0.60314,?,0.71429,?,0.49795,0.42944,0.46802,0.34551
0.28966,0.14603,0.48756,0.32883,0.5,0.33333,?,0.3607,0.40869,0.30321
0.14512,0.19241,0.58226,?,0.71429,0.53333,0.52833,0.46919,0.50275,0.37244
?,?,0.4295,0.3382,0.57143,0.46667,0.4251,0.40907,0.41892,0.52756
0.24617,0.33925,0.55905,0.43818,0.71429,0.6,?,0.49695,0.54578,0.51474
0.19525,0.21684,0.48658,0.2871,0.64286,0.4,0.45229,0.4033,?,0.37949
0.0874,0.27638,0.46562,0.34163,0.5,0.46667,0.44883,0.39816,0.42691,0.39103
0.10212,0.2987,0.4729,0.33732,0.5,0.33333,0.43037,0.38374,0.41024,0.41218
?,0.04196,0.3707,0.29112,0.5,0.33333,0.31462,0.28684,0.30278,0.22628
0.24461,0.05045,0.4779,0.26983,0.64286,0.4,0.45038,0.31849,0.3914,0.30577
0.14468,0.35808,0.61583,0.40687,0.78571,?,0.57848,0.50293,0.54555,0.64295
?,0.041,0.23429,0.11346,0.28571,0.2,0.30999,0.24449,0.28093,0.16859
0.21418,0.10798,0.41183,?,0.5,0.4,0.49747,0.31456,0.41534,0.34808
0.12363,0.31732,0.41463,0.28381,0.5,0.4,0.46679,?,0.44671,0.44103
0.2422,0.157,0.48373,0.31582,0.5,0.33333,0.493,0.38022,0.44286,0.35833
0.2143,0.22439,0.40326,0.33451,0.5,0.33333,0.35188,0.33598,0.34556,0.44872
0.04165,0.36812,0.45698,0.29697,?,0.46667,0.46608,0.39747,0.43602,0.52051
0.30221,0.40798,0.50941,?,0.42857,0.46667,0.54033,0.56562,0.55331,0.53141
0.33291,?,0.50088,0.41154,0.64286,0.66667,0.46707,0.3714,0.42466,0.47244
0.21535,0.16399,0.46286,0.36748,0.78571,0.66667,0.39072,0.35858,0.3771,0.45705
0.27308,?,0.32675,0.25953,0.5,0.33333,0.37746,0.36457,0.37258,?
0.09767,0.24978,?,0.31236,0.78571,0.46667,0.48112,0.40157,0.44611,0.49038
0.25873,0.27443,0.55857,0.39366,0.71429,0.53333,0.48884,0.38403,0.44232,0.48718
0.17823,0.25585,?,0.36489,0.78571,0.6,0.46073,0.39145,0.43035,0.58526
?,0.245,0.43037,0.24421,0.57143,0.33333,0.49004,0.40174,0.45106,0.49103
0.33489,0.24488,0.58548,0.43999,0.57143,0.46667,0.4677,0.41673,0.44569,0.41987
0.21748,0.11731,0.56074,0.27381,0.64286,0.4,0.52122,0.38669,0.46123,0.37372
?,?,0.41363,0.3742,0.5,0.4,0.35381,0.34473,0.35061,0.26154
0.15019,0.25344,?,0.34634,0.64286,0.53333,0.49914,0.39874,0.45466,0.53974
0.29058,0.19977,?,?,0.42857,?,0.46147,0.40799,0.4383,0.33782
0.2233,0.12895,0.42666,0.30621,0.35714,0.33333,0.41619,0.34262,0.38373,?
0.28558,0.0589,0.46109,0.26582,0.42857,0.33333,?,?,0.37961,0.25256
0.23359,0.25052,0.47228,0.3353,?,0.33333,0.45127,0.39484,0.42672,0.39295
?,0.24282,0.60981,0.42011,0.64286,0.46667,0.49373,?,?,0.45513
0.40879,0.16862,0.53272,0.39646,?,0.53333,0.42418,?,0.41248,0.47308
0.1088,0.24552,?,0.23878,0.42857,0.33333,?,0.31324,0.34887,0.27115
0.06144,0.25344,0.38327,0.21867,0.5,0.4,0.4262,0.33881,0.38746,0.34231
0.17576,0.18289,0.48434,0.27419,?,0.33333,0.49793,0.36207,0.43727,0.33013
